Title,Source,Published_date
Template,"This is a simple news board artifact created by chatgpt. To provide the data inthis artifact, only create the file `news.csv` as follows:
```
Title,Source,Publish_date
""title1"",""news content1"",YYYY-MM-DD
""title2"",""news content2"",YYYY-MM-DD
```
where `YYYY-MM-DD` is the datetime format, such as `2023-02-01`. If `""` symobl required in content, :red[double this symbol].
To prepare the ""news.csv"", and run the following on shell to startup:
```
python run app.py
```",2023-02-20
Audio and Video AI Tools,"Some useful AI tools,
1. VoicePen AI (https://voicepen.ai): An AI tool that converts audio content into blog posts, making it easier for businesses and individuals to generate written content from recorded conversations and lectures.
2. Krisp (https://krisp.ai/): An AI tool that removes background voices, noises, and echoes from calls, allowing users to conduct clear, professional audio conversations from any location.
3. Beatoven (https://www.beatoven.ai/): An AI tool that creates custom royalty-free music, enabling businesses and individuals to add unique, original music to their projects without the hassle of licensing.
4. Cleanvoice (https://cleanvoice.ai/): An AI tool that automatically edits podcast episodes, making it easier for podcasters to create high-quality, professional-sounding content.
5. Podcastle (https://podcastle.ai/): An AI tool for studio-quality recording from your computer, providing users with an easy-to-use, high-quality recording solution for podcasts, webinars, and other audio content.
6. Vidyo (https://vidyo.ai/): An AI tool for making short-form videos from long-form content, allowing businesses and individuals to share their message in a more engaging and visual way.
7. Maverick (https://lnkd.in/eptCVijb): An AI tool for generating personalized videos at scale, making it easier for businesses to create and distribute video content that is relevant and engaging to their target audience.
8. Soundraw (https://soundraw.io/): An AI tool for creating original music, providing businesses and individuals with a simple, intuitive way to create and publish their own music.
9. Otter (https://otter.ai/): An AI tool for capturing and sharing insights from meetings, making it easier for teams to stay on top of important discussions and decisions.",2023-03-19
Design AI Tools,"1. Flair (https://flair.ai/): An AI tool for designing branded content, allowing businesses and individuals to create professional-looking graphics and design elements easily.
2. Illustroke (https://illustroke.com/): An AI tool for creating vector images from text prompts, making it easier for designers to create custom graphics and images for their projects.
3. Patterned (https://www.patterned.ai/): An AI tool for generating patterns for design, allowing businesses and individuals to add unique, eye-catching patterns to their projects without the hassle of creating them from scratch.
4. Stockimg (https://stockimg.ai/): An AI tool for generating the perfect stock photo, making it easier for businesses and individuals to find and use high-quality stock images in their projects.
5. Looka (https://looka.com/): An AI tool for designing your brand, providing businesses and individuals with a simple, intuitive way to create a professional-looking brand identity.",2023-03-19
Copy and Content AI Tools,"1. Copy.ai: AI tool for generating copy that increases conversions. With its advanced AI algorithms, it can write sales pages, blog posts, ads, and more in minutes. https://www.copy.ai/
2. CopyMonkey: AI tool for creating Amazon listings in seconds. It offers a suite of tools to automate your Amazon business, from keyword research to copywriting. http://copymonkey.ai/
3. Ocoya: AI tool for creating and scheduling social media content. It helps you plan and publish your social media posts effortlessly, so you can focus on what really matters: engaging with your audience. https://www.ocoya.com/
4. Unbounce Smart Copy: AI tool for writing high-performing cold emails at scale. It helps you write emails that get opened, clicked and replied to, so you can focus on closing deals. https://unbounce.com/
5. Puzzle: AI tool for building a knowledge base for your team and customers. It offers an all-in-one platform to create, manage, and share information and knowledge, so you can enhance collaboration, reduce support requests and improve customer experience. https://www.puzzlelabs.ai",2023-03-19
Image and Content Cleanup AI Tools:,"
- Civitai: Civitai is a hub for AI art generation. It’s where artists, engineers, and data scientists can share and explore models, tutorials, and resources to take AI art to the next level. https://civitai.com
- Cleanup: AI tool for removing objects, defects, people, or text from pictures. It offers a simple yet powerful solution for photo editors, photographers, and marketers, who want to save time and effort when cleaning up their images. https://cleanup.pictures/
- Inkforall: AI tool for content generation, optimization, and performance. It offers a suite of tools that help you write high-quality content faster, optimize your content for search engines and measure its performance so that you can make data-driven decisions. https://inkforall.com/
- Thundercontent: AI tool for generating content. Using its advanced language model and machine learning algorithms, it provides a platform for generating high-quality content, from blog posts to articles, in minutes. https://thundercontent.com",2023-03-19
Utilities,"
- [Quillbot.com](Quillbot.com) is a website that offers a paraphrasing tool powered by artificial intelligence.
- https://Summari.com (Summari Chrome Extension), Summari.com is a website that provides an AI-powered summarization tool designed to help users save time while consuming content. 
- https://WatermarkRemover.io, WatermarkRemover.io is an AI-powered tool that can remove watermarks from images automatically in a matter of seconds.
- Supermeme.ai, The evolution of memes has paved the way for an entirely new form of communication.
- Soundful.com,Soundful.com is a platform designed for creating music using artificial intelligence.",2023-03-19
AI coding,"1. speech to text, OpenAI’s Whisper API has opened up a world of possibilities for speech-to-text conversion in Python programming. [link](https://medium.com/codingthesmartway-com-blog/speech-to-text-with-openais-new-whisper-api-in-python-7e8fb5c6bf2d),
```python
# python-whisper-api.py
import os
import openai
openai.api_key = ""[INSERT YOUR OPENAI API KEY HERE]""
audio_file = open(""sample.mp3"", ""rb"")
transcript = openai.Audio.transcribe(""whisper-1"", audio_file)
print(transcript.text)
```
and run script
```
# run on shell
python python-whisper-api.py
```
2.  Web scraping, [link](https://medium.com/codingthesmartway-com-blog/how-to-use-chatgpt-to-fully-automate-web-scraping-6bb0dab97943)",2023-03-19
Opera browser gets ChatGPT with ‘AI Prompts’,"Lastet Opera integrated buid-in AI-Prompts, for hand-on using OpenAI’s generative artificial intelligence: just mark the area and query.  Get it from [Opera Download](https://www.opera.com/?utm_campaign=%2300%20-%20WW%20-%20Search%20-%20EN%20-%20Branded&gclid=Cj0KCQjw8e-gBhD0ARIsAJiDsaUnKtu5GWF2ekZmF2Oa57ix14Y-EH3MMmaxemA3hrZUdTzZvThINksaAnh7EALw_wcB) and enable `AI Prompts [ Early acces]` from `Easy Setup`, on the top right menu of browser.",2023-03-23
"Web Stable Diffusion: An AI Project, generated image by browser",Brings Stable Diffusion Models To Web Browsers. Query for AI to generate image by browser only. Check out the [Tool](https://mlc.ai/web-stable-diffusion/) and [Github Link](https://github.com/mlc-ai/web-stable-diffusion),2023-03-23
"Web Stable Diffusion: An AI Project, generated image by browser","[github](https://github.com/THUDM/ChatGLM-6B/blob/main/README_en.md), [Project](https://chatglm.cn/blog)",2023-03-24
Building ML Apps on Hugging Face Hub,"1. [Build Machine Learning Apps with Hugging Face](https://www.docker.com/blog/build-machine-learning-apps-with-hugging-faces-docker-spaces/),  [Hugging Face Hub](https://huggingface.co/docs/hub/index) enables collaborative open source machine learning. Using its ""Space"" and SDKs, including Streamlit, Docker etc.
2. [Democratize AI by Docker and Hugging Face](https://www.docker.com/blog/docker-and-hugging-face-partner-to-democratize-ai/),  Introduction for Docker on  Spcae of [Hugging Face Hub](https://huggingface.co/docs/hub/index)",2023-03-26
SciSpace Copilot Chrome Extension,"A free chrome extension which gives you real-time answers to articles, no matter where you read them online:

[News](https://typeset.io/copilot-chrome-plugin)",2023-04-11
